provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count
Azure,Standard_NV6ads_A10_v5,NV6ads,Standard_NV6ads_A10_v5,6,55.0,eastus,,0.454,,A10,0.167
Azure,Standard_E104ids_v5,E104ids,Standard_E104ids_v5,104,672.0,eastus,,,1.331923,,0.0
Azure,Standard_D48ds_v5,D48ds,Standard_D48ds_v5,48,192.0,eastus,,,0.459413,,0.0
Azure,Standard_M176s_4_v3,M176s,Standard_M176s_4_v3,176,3892.0,eastus,,4.98,,,0.0
Azure,Standard_E4a_v4,E4a,Standard_E4a_v4,4,32.0,eastus,,,0.03528,,0.0
Azure,Standard_DC8s_v3,DC8s,Standard_DC8s_v3,8,64.0,eastus,,0.768,,,0.0
Azure,Standard_B2ls_v2,B2ls,Standard_B2ls_v2,2,4.0,eastus,,0.00832,,,0.0
Azure,Standard_E2ds_v5,E2ds,Standard_E2ds_v5,2,16.0,eastus,,0.0288,,,0.0
Azure,Standard_B8s_v2,B8s,Standard_B8s_v2,8,32.0,eastus,,,0.162238,,0.0
Azure,Standard_HB120-64rs_v2,HB120-64rs,Standard_HB120-64rs_v2,120,456.0,eastus,,0.72,,,0.0
Azure,Standard_EC20ads_cc_v5,EC20ads,Standard_EC20ads_cc_v5,20,160.0,eastus,,0.262,,,0.0
Azure,Standard_D4_v4,D4,Standard_D4_v4,4,16.0,eastus,,,0.029626,,0.0
Azure,Standard_D8ads_v5,D8ads,Standard_D8ads_v5,8,32.0,eastus,,0.412,,,0.0
Azure,Standard_E16ds_v4,E16ds,Standard_E16ds_v4,16,128.0,eastus,,1.152,,,0.0
Azure,Standard_D11,D11,Standard_D11,2,14.0,eastus,,0.193,,,0.0
Azure,Standard_M416s_6_v3,M416s,Standard_M416s_6_v3,416,5696.0,eastus,,,9.83136,,0.0
Azure,Standard_D2_v4,D2,Standard_D2_v4,2,8.0,eastus,,0.096,,,0.0
Azure,Standard_E80is_v4,E80is,Standard_E80is_v4,80,504.0,eastus,,,0.814968,,0.0
Azure,Standard_DC1s_v3,DC1s,Standard_DC1s_v3,1,8.0,eastus,,0.0192,,,0.0
Azure,Standard_E8-4s_v5,E8-4s,Standard_E8-4s_v5,8,64.0,eastus,,0.101,,,0.0
Azure,Standard_E16-4ads_v5,E16-4ads,Standard_E16-4ads_v5,16,128.0,eastus,,,0.14672,,0.0
Azure,Standard_M12ds_v3,M12ds,Standard_M12ds_v3,12,240.0,eastus,,1.63,,,0.0
Azure,Standard_D16ds_v5,D16ds,Standard_D16ds_v5,16,64.0,eastus,,,0.153138,,0.0
Azure,Standard_D4d_v4,D4d,Standard_D4d_v4,4,16.0,eastus,,0.226,,,0.0
Azure,Standard_M208s_v2,M208s,Standard_M208s_v2,208,2850.0,eastus,,22.31,,,0.0
Azure,Standard_EC20as_v5,EC20as,Standard_EC20as_v5,20,160.0,eastus,,,1.017,,0.0
Azure,Standard_E20_v3,E20,Standard_E20_v3,20,160.0,eastus,,1.26,,,0.0
Azure,Standard_D14_v2,D14,Standard_D14_v2,16,112.0,eastus,,0.296,,,0.0
Azure,Standard_F1,F1,Standard_F1,1,2.0,eastus,,0.0497,,,0.0
Azure,Standard_M128bds_v3,M128bds,Standard_M128bds_v3,128,1024.0,eastus,,11.71,,,0.0
Azure,Standard_NC6s_v2,NC6s,Standard_NC6s_v2,6,112.0,eastus,,2.07,,P100,1.0
Azure,Standard_B4ps_v2,B4ps,Standard_B4ps_v2,4,16.0,eastus,,,0.065285,,0.0
