provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count
AWS,m5d.12xlarge,m5d,m5d.12xlarge,48,192.0,us-east-1,,2.712,1.17898,,
AWS,m7a.8xlarge,m7a,m7a.8xlarge,32,128.0,us-east-1,,1.85472,0.71478,,
AWS,r7a.32xlarge,r7a,r7a.32xlarge,128,1024.0,us-east-1,,9.7376,2.2198,,
AWS,r7a.8xlarge,r7a,r7a.8xlarge,32,256.0,us-east-1,,2.4344,0.64802,,
AWS,c7a.large,c7a,c7a.large,2,4.0,us-east-1,,0.10264,0.0428,,
AWS,m5a.12xlarge,m5a,m5a.12xlarge,48,192.0,us-east-1,,2.064,0.73708,,
AWS,m6in.xlarge,m6in,m6in.xlarge,4,16.0,us-east-1,,0.27846,0.12282,,
AWS,r6idn.24xlarge,r6idn,r6idn.24xlarge,96,768.0,us-east-1,,9.37872,2.73118,,
AWS,r7g.metal,r7g,r7g.metal,64,512.0,us-east-1,,3.4272,0.84276,,
AWS,r5n.metal,r5n,r5n.metal,96,768.0,us-east-1,,7.152,1.1643000000000001,,
AWS,r7a.16xlarge,r7a,r7a.16xlarge,64,512.0,us-east-1,,4.8688,1.25162,,
AWS,m1.small,m1,m1.small,1,1.69921875,us-east-1,,0.044,0.0106,,
AWS,c6in.xlarge,c6in,c6in.xlarge,4,8.0,us-east-1,,0.2268,0.09594,,
AWS,t4g.large,t4g,t4g.large,2,8.0,us-east-1,,0.0672,0.0185,,
AWS,r5a.xlarge,r5a,r5a.xlarge,4,32.0,us-east-1,,0.226,0.08360000000000001,,
AWS,x8g.48xlarge,x8g,x8g.48xlarge,192,3072.0,us-east-1,,18.7584,9.105666666666666,,
AWS,r5.2xlarge,r5,r5.2xlarge,8,64.0,us-east-1,,0.504,0.19924,,
AWS,r6id.24xlarge,r6id,r6id.24xlarge,96,768.0,us-east-1,,7.2576,2.7536,,
AWS,r5b.large,r5b,r5b.large,2,16.0,us-east-1,,0.149,0.04665,,
AWS,m6idn.12xlarge,m6idn,m6idn.12xlarge,48,192.0,us-east-1,,3.81888,1.3602,,
AWS,t2.2xlarge,t2,t2.2xlarge,8,32.0,us-east-1,,0.3712,0.09908333333333334,,
AWS,c7i-flex.4xlarge,c7i-flex,c7i-flex.4xlarge,16,32.0,us-east-1,,0.6783,0.24318,,
AWS,c6a.32xlarge,c6a,c6a.32xlarge,128,256.0,us-east-1,,4.896,1.33194,,
AWS,m6i.xlarge,m6i,m6i.xlarge,4,16.0,us-east-1,,0.192,0.0711,,
AWS,m6i.2xlarge,m6i,m6i.2xlarge,8,32.0,us-east-1,,0.384,0.14558,,
AWS,m7a.16xlarge,m7a,m7a.16xlarge,64,256.0,us-east-1,,3.70944,1.37638,,
AWS,m6idn.large,m6idn,m6idn.large,2,8.0,us-east-1,,0.15912,0.057699999999999994,,
AWS,m6in.12xlarge,m6in,m6in.12xlarge,48,192.0,us-east-1,,3.34152,1.48722,,
AWS,c5.xlarge,c5,c5.xlarge,4,8.0,us-east-1,,0.17,0.0752,,
AWS,c8g.2xlarge,c8g,c8g.2xlarge,8,16.0,us-east-1,,0.31904,0.11166000000000001,,
AWS,r8g.24xlarge,r8g,r8g.24xlarge,96,768.0,us-east-1,,5.65536,1.45038,,
AWS,m5ad.12xlarge,m5ad,m5ad.12xlarge,48,192.0,us-east-1,,2.472,1.20976,,
AWS,c4.2xlarge,c4,c4.2xlarge,8,15.0,us-east-1,,0.398,0.17138333333333333,,
AWS,c7gd.4xlarge,c7gd,c7gd.4xlarge,16,32.0,us-east-1,,0.7258,0.25078,,
AWS,p5.48xlarge,p5,p5.48xlarge,192,2048.0,us-east-1,,98.32,20.429100000000002,H100,8.0
AWS,i8g.8xlarge,i8g,i8g.8xlarge,32,256.0,us-east-1,,2.7456,0.7300333333333334,,
AWS,c5ad.12xlarge,c5ad,c5ad.12xlarge,48,96.0,us-east-1,,2.064,0.78036,,
AWS,r7a.24xlarge,r7a,r7a.24xlarge,96,768.0,us-east-1,,7.3032,2.2039,,
AWS,g3.16xlarge,g3,g3.16xlarge,64,488.0,us-east-1,,4.56,1.105925,,
AWS,c6i.12xlarge,c6i,c6i.12xlarge,48,96.0,us-east-1,,2.04,0.6325200000000001,,
AWS,u7in-32tb.224xlarge,u7in-32tb,u7in-32tb.224xlarge,896,32768.0,us-east-1,,407.68,,,
AWS,c7gd.large,c7gd,c7gd.large,2,4.0,us-east-1,,0.0907,0.037939999999999995,,
AWS,d3.8xlarge,d3,d3.8xlarge,32,256.0,us-east-1,,3.99552,1.361125,,
AWS,i4g.xlarge,i4g,i4g.xlarge,4,32.0,us-east-1,,0.30888,0.10996000000000002,,
AWS,t3a.nano,t3a,t3a.nano,2,0.5,us-east-1,,0.0047,0.0019,,
AWS,m6a.large,m6a,m6a.large,2,8.0,us-east-1,,0.0864,0.03258,,
AWS,cr1.8xlarge,cr1,cr1.8xlarge,32,244.0,us-east-1,,3.5,,,
AWS,m7gd.8xlarge,m7gd,m7gd.8xlarge,32,128.0,us-east-1,,1.7086,0.6921999999999999,,
AWS,m6gd.metal,m6gd,m6gd.metal,64,256.0,us-east-1,,2.8928,0.4171,,
AWS,u-6tb1.56xlarge,u-6tb1,u-6tb1.56xlarge,224,6144.0,us-east-1,,46.40391,,,
AWS,g6e.4xlarge,g6e,g6e.4xlarge,16,128.0,us-east-1,,3.00424,1.2653,L40S,1.0
AWS,d3.xlarge,d3,d3.xlarge,4,32.0,us-east-1,,0.499,0.12795,,
AWS,z1d.large,z1d,z1d.large,2,16.0,us-east-1,,0.186,0.051680000000000004,,
