provider,instance_id,instance_family,instance_type,vcpus,memory_gib,region,zone,price_per_hour,spot_price_per_hour,gpu_model,gpu_count
GCP,c3-highmem-176,c3,c3-highmem-176,176.0,1408.0,us-central1,us-central1-c,11.672671999999999,3.6639679999999997,,
GCP,c3-highmem-22,c3,c3-highmem-22,22.0,176.0,us-central1,us-central1-c,1.4590839999999998,0.45799599999999996,,
GCP,c3-highmem-4,c3,c3-highmem-4,4.0,32.0,us-central1,us-central1-c,0.26528799999999997,0.083272,,
GCP,c3-highmem-44,c3,c3-highmem-44,44.0,352.0,us-central1,us-central1-c,2.9181679999999997,0.9159919999999999,,
GCP,c3-highmem-8,c3,c3-highmem-8,8.0,64.0,us-central1,us-central1-c,0.5305759999999999,0.166544,,
GCP,c3-highmem-88,c3,c3-highmem-88,88.0,704.0,us-central1,us-central1-c,5.836335999999999,1.8319839999999998,,
GCP,c3-standard-176,c3,c3-standard-176,176.0,704.0,us-central1,us-central1-c,8.885536,2.7163839999999997,,
GCP,c3-standard-176-lssd,c3,c3-standard-176-lssd,176.0,704.0,us-central1,us-central1-c,8.885536,2.7163839999999997,,
GCP,c3-standard-22,c3,c3-standard-22,22.0,88.0,us-central1,us-central1-c,1.110692,0.33954799999999996,,
GCP,c3-standard-22-lssd,c3,c3-standard-22-lssd,22.0,88.0,us-central1,us-central1-c,1.110692,0.33954799999999996,,
GCP,c3-standard-4,c3,c3-standard-4,4.0,16.0,us-central1,us-central1-c,0.201944,0.061736,,
GCP,c3-standard-4-lssd,c3,c3-standard-4-lssd,4.0,16.0,us-central1,us-central1-c,0.201944,0.061736,,
GCP,c3-standard-44,c3,c3-standard-44,44.0,176.0,us-central1,us-central1-c,2.221384,0.6790959999999999,,
GCP,c3-standard-44-lssd,c3,c3-standard-44-lssd,44.0,176.0,us-central1,us-central1-c,2.221384,0.6790959999999999,,
GCP,c3-standard-8,c3,c3-standard-8,8.0,32.0,us-central1,us-central1-c,0.403888,0.123472,,
GCP,c3-standard-8-lssd,c3,c3-standard-8-lssd,8.0,32.0,us-central1,us-central1-c,0.403888,0.123472,,
GCP,c3-standard-88,c3,c3-standard-88,88.0,352.0,us-central1,us-central1-c,4.442768,1.3581919999999998,,
GCP,c3-standard-88-lssd,c3,c3-standard-88-lssd,88.0,352.0,us-central1,us-central1-c,4.442768,1.3581919999999998,,
GCP,c3d-highcpu-16,c3d,c3d-highcpu-16,16.0,32.0,us-central1,us-central1-c,0.599696,0.203872,,
GCP,c3d-highcpu-180,c3d,c3d-highcpu-180,180.0,354.0,us-central1,us-central1-c,6.722826,2.285484,,
GCP,c3d-highcpu-30,c3d,c3d-highcpu-30,30.0,59.0,us-central1,us-central1-c,1.120471,0.380914,,
GCP,c3d-highcpu-360,c3d,c3d-highcpu-360,360.0,708.0,us-central1,us-central1-c,13.445652,4.570968,,
GCP,c3d-highcpu-4,c3d,c3d-highcpu-4,4.0,8.0,us-central1,us-central1-c,0.149924,0.050968,,
GCP,c3d-highcpu-60,c3d,c3d-highcpu-60,60.0,118.0,us-central1,us-central1-c,2.240942,0.761828,,
GCP,c3d-highcpu-8,c3d,c3d-highcpu-8,8.0,16.0,us-central1,us-central1-c,0.299848,0.101936,,
GCP,c3d-highcpu-90,c3d,c3d-highcpu-90,90.0,177.0,us-central1,us-central1-c,3.361413,1.142742,,
GCP,c3d-highmem-16,c3d,c3d-highmem-16,16.0,128.0,us-central1,us-central1-c,0.97976,0.333088,,
GCP,c3d-highmem-16-lssd,c3d,c3d-highmem-16-lssd,16.0,128.0,us-central1,us-central1-c,0.97976,0.333088,,
GCP,c3d-highmem-180,c3d,c3d-highmem-180,180.0,1440.0,us-central1,us-central1-c,11.0223,3.7472399999999997,,
GCP,c3d-highmem-180-lssd,c3d,c3d-highmem-180-lssd,180.0,1440.0,us-central1,us-central1-c,11.0223,3.7472399999999997,,
GCP,c3d-highmem-30,c3d,c3d-highmem-30,30.0,240.0,us-central1,us-central1-c,1.83705,0.62454,,
GCP,c3d-highmem-30-lssd,c3d,c3d-highmem-30-lssd,30.0,240.0,us-central1,us-central1-c,1.83705,0.62454,,
GCP,c3d-highmem-360,c3d,c3d-highmem-360,360.0,2880.0,us-central1,us-central1-c,22.0446,7.494479999999999,,
GCP,c3d-highmem-360-lssd,c3d,c3d-highmem-360-lssd,360.0,2880.0,us-central1,us-central1-c,22.0446,7.494479999999999,,
GCP,c3d-highmem-4,c3d,c3d-highmem-4,4.0,32.0,us-central1,us-central1-c,0.24494,0.083272,,
GCP,c3d-highmem-60,c3d,c3d-highmem-60,60.0,480.0,us-central1,us-central1-c,3.6741,1.24908,,
GCP,c3d-highmem-60-lssd,c3d,c3d-highmem-60-lssd,60.0,480.0,us-central1,us-central1-c,3.6741,1.24908,,
GCP,c3d-highmem-8,c3d,c3d-highmem-8,8.0,64.0,us-central1,us-central1-c,0.48988,0.166544,,
GCP,c3d-highmem-8-lssd,c3d,c3d-highmem-8-lssd,8.0,64.0,us-central1,us-central1-c,0.48988,0.166544,,
GCP,c3d-highmem-90,c3d,c3d-highmem-90,90.0,720.0,us-central1,us-central1-c,5.51115,1.8736199999999998,,
GCP,c3d-highmem-90-lssd,c3d,c3d-highmem-90-lssd,90.0,720.0,us-central1,us-central1-c,5.51115,1.8736199999999998,,
GCP,c3d-standard-16,c3d,c3d-standard-16,16.0,64.0,us-central1,us-central1-c,0.7263839999999999,0.246944,,
GCP,c3d-standard-16-lssd,c3d,c3d-standard-16-lssd,16.0,64.0,us-central1,us-central1-c,0.7263839999999999,0.246944,,
GCP,c3d-standard-180,c3d,c3d-standard-180,180.0,720.0,us-central1,us-central1-c,8.17182,2.77812,,
GCP,c3d-standard-180-lssd,c3d,c3d-standard-180-lssd,180.0,720.0,us-central1,us-central1-c,8.17182,2.77812,,
GCP,c3d-standard-30,c3d,c3d-standard-30,30.0,120.0,us-central1,us-central1-c,1.36197,0.46302,,
GCP,c3d-standard-30-lssd,c3d,c3d-standard-30-lssd,30.0,120.0,us-central1,us-central1-c,1.36197,0.46302,,
GCP,c3d-standard-360,c3d,c3d-standard-360,360.0,1440.0,us-central1,us-central1-c,16.34364,5.55624,,
GCP,c3d-standard-360-lssd,c3d,c3d-standard-360-lssd,360.0,1440.0,us-central1,us-central1-c,16.34364,5.55624,,
GCP,c3d-standard-4,c3d,c3d-standard-4,4.0,16.0,us-central1,us-central1-c,0.18159599999999998,0.061736,,
GCP,c3d-standard-60,c3d,c3d-standard-60,60.0,240.0,us-central1,us-central1-c,2.72394,0.92604,,
GCP,c3d-standard-60-lssd,c3d,c3d-standard-60-lssd,60.0,240.0,us-central1,us-central1-c,2.72394,0.92604,,
GCP,c3d-standard-8,c3d,c3d-standard-8,8.0,32.0,us-central1,us-central1-c,0.36319199999999996,0.123472,,
GCP,c3d-standard-8-lssd,c3d,c3d-standard-8-lssd,8.0,32.0,us-central1,us-central1-c,0.36319199999999996,0.123472,,
GCP,c3d-standard-90,c3d,c3d-standard-90,90.0,360.0,us-central1,us-central1-c,4.08591,1.38906,,
GCP,c3d-standard-90-lssd,c3d,c3d-standard-90-lssd,90.0,360.0,us-central1,us-central1-c,4.08591,1.38906,,
GCP,c4-highcpu-16,c4,c4-highcpu-16,16.0,32.0,us-central1,us-central1-c,0.619776,0.2616,,
GCP,c4-highcpu-192,c4,c4-highcpu-192,192.0,384.0,us-central1,us-central1-c,7.4373119999999995,3.1391999999999998,,
GCP,c4-highcpu-2,c4,c4-highcpu-2,2.0,4.0,us-central1,us-central1-c,0.077472,0.0327,,
GCP,c4-highcpu-32,c4,c4-highcpu-32,32.0,64.0,us-central1,us-central1-c,1.239552,0.5232,,
GCP,c4-highcpu-4,c4,c4-highcpu-4,4.0,8.0,us-central1,us-central1-c,0.154944,0.0654,,
GCP,c4-highcpu-48,c4,c4-highcpu-48,48.0,96.0,us-central1,us-central1-c,1.8593279999999999,0.7847999999999999,,
GCP,c4-highcpu-8,c4,c4-highcpu-8,8.0,16.0,us-central1,us-central1-c,0.309888,0.1308,,
GCP,c4-highcpu-96,c4,c4-highcpu-96,96.0,192.0,us-central1,us-central1-c,3.7186559999999997,1.5695999999999999,,
GCP,c4-highmem-16,c4,c4-highmem-16,16.0,124.0,us-central1,us-central1-c,0.982072,0.39039999999999997,,
GCP,c4-highmem-192,c4,c4-highmem-192,192.0,1488.0,us-central1,us-central1-c,11.784863999999999,4.6848,,
GCP,c4-highmem-2,c4,c4-highmem-2,2.0,15.0,us-central1,us-central1-c,0.12079,0.048100000000000004,,
GCP,c4-highmem-32,c4,c4-highmem-32,32.0,248.0,us-central1,us-central1-c,1.964144,0.7807999999999999,,
GCP,c4-highmem-4,c4,c4-highmem-4,4.0,31.0,us-central1,us-central1-c,0.245518,0.09759999999999999,,
GCP,c4-highmem-48,c4,c4-highmem-48,48.0,372.0,us-central1,us-central1-c,2.9462159999999997,1.1712,,
GCP,c4-highmem-8,c4,c4-highmem-8,8.0,62.0,us-central1,us-central1-c,0.491036,0.19519999999999998,,
GCP,c4-highmem-96,c4,c4-highmem-96,96.0,744.0,us-central1,us-central1-c,5.8924319999999994,2.3424,,
GCP,c4-standard-16,c4,c4-standard-16,16.0,60.0,us-central1,us-central1-c,0.73004,0.3008,,
GCP,c4-standard-192,c4,c4-standard-192,192.0,720.0,us-central1,us-central1-c,8.76048,3.6096,,
GCP,c4-standard-2,c4,c4-standard-2,2.0,7.0,us-central1,us-central1-c,0.08928599999999999,0.0369,,
GCP,c4-standard-32,c4,c4-standard-32,32.0,120.0,us-central1,us-central1-c,1.46008,0.6016,,
GCP,c4-standard-4,c4,c4-standard-4,4.0,15.0,us-central1,us-central1-c,0.18251,0.0752,,
GCP,c4-standard-48,c4,c4-standard-48,48.0,180.0,us-central1,us-central1-c,2.19012,0.9024,,
GCP,c4-standard-8,c4,c4-standard-8,8.0,30.0,us-central1,us-central1-c,0.36502,0.1504,,
GCP,c4-standard-96,c4,c4-standard-96,96.0,360.0,us-central1,us-central1-c,4.38024,1.8048,,
